Card_1,Valentía=3|Liderazgo=14|Ternura=49
Card_2,Valentía=8|Liderazgo=82|Ternura=27
Card_3,Valentía=1|Liderazgo=25|Ternura=95
Card_4,Valentía=5|Liderazgo=51|Ternura=73
Card_5,Valentía=6|Liderazgo=11|Ternura=50
Card_6,Valentía=4|Liderazgo=31|Ternura=57
Card_7,Valentía=3|Liderazgo=71|Ternura=2
Card_8,Valentía=4|Liderazgo=17|Ternura=83
Card_9,Valentía=3|Liderazgo=16|Ternura=75
Card_10,Valentía=7|Liderazgo=28|Ternura=54
Card_11,Valentía=1|Liderazgo=49|Ternura=26
Card_12,Valentía=5|Liderazgo=22|Ternura=59
Card_13,Valentía=1|Liderazgo=94|Ternura=51
Card_14,Valentía=1|Liderazgo=81|Ternura=33
Card_15,Valentía=9|Liderazgo=95|Ternura=4
Card_16,Valentía=4|Liderazgo=20|Ternura=64
Card_17,Valentía=5|Liderazgo=71|Ternura=21
Card_18,Valentía=9|Liderazgo=12|Ternura=96
Card_19,Valentía=1|Liderazgo=4|Ternura=8
Card_20,Valentía=2|Liderazgo=64|Ternura=45
Card_21,Valentía=2|Liderazgo=28|Ternura=78
Card_22,Valentía=9|Liderazgo=54|Ternura=96
Card_23,Valentía=8|Liderazgo=41|Ternura=16
Card_24,Valentía=7|Liderazgo=38|Ternura=18
Card_25,Valentía=8|Liderazgo=15|Ternura=31
Card_26,Valentía=3|Liderazgo=81|Ternura=44
Card_27,Valentía=8|Liderazgo=16|Ternura=99
Card_28,Valentía=1|Liderazgo=58|Ternura=37
Card_29,Valentía=2|Liderazgo=26|Ternura=54
Card_30,Valentía=4|Liderazgo=52|Ternura=68
Card_31,Valentía=9|Liderazgo=74|Ternura=18
Card_32,Valentía=5|Liderazgo=78|Ternura=23
Card_33,Valentía=6|Liderazgo=20|Ternura=87
Card_34,Valentía=5|Liderazgo=73|Ternura=58
Card_35,Valentía=8|Liderazgo=20|Ternura=98
Card_36,Valentía=3|Liderazgo=13|Ternura=46
Card_37,Valentía=7|Liderazgo=7|Ternura=39
Card_38,Valentía=3|Liderazgo=43|Ternura=91
Card_39,Valentía=6|Liderazgo=98|Ternura=75
Card_40,Valentía=9|Liderazgo=88|Ternura=64
Card_41,Valentía=1|Liderazgo=86|Ternura=31
Card_42,Valentía=4|Liderazgo=30|Ternura=95
Card_43,Valentía=7|Liderazgo=77|Ternura=38
Card_44,Valentía=4|Liderazgo=85|Ternura=9
Card_45,Valentía=6|Liderazgo=85|Ternura=81
Card_46,Valentía=1|Liderazgo=69|Ternura=77
Card_47,Valentía=4|Liderazgo=78|Ternura=61
Card_48,Valentía=1|Liderazgo=79|Ternura=82
Card_49,Valentía=6|Liderazgo=39|Ternura=5
Card_50,Valentía=8|Liderazgo=37|Ternura=18
