Card_1,Altura=8.31|Peso=10722.18|Fuerza=1437284.82|Peleas Ganadas=92|Velocidad=247.26
Card_2,Altura=8.25|Peso=9287.28|Fuerza=660402.43|Peleas Ganadas=711|Velocidad=89.17
Card_3,Altura=8.7|Peso=11670.23|Fuerza=1090273.35|Peleas Ganadas=433|Velocidad=144.73
Card_4,Altura=8.75|Peso=7614.12|Fuerza=1228157.91|Peleas Ganadas=831|Velocidad=267.08
Card_5,Altura=9.54|Peso=12610.6|Fuerza=1235646.26|Peleas Ganadas=381|Velocidad=118.19
Card_6,Altura=9.06|Peso=9647.77|Fuerza=1272870.33|Peleas Ganadas=474|Velocidad=116.17
Card_7,Altura=9.83|Peso=13433.26|Fuerza=646886.01|Peleas Ganadas=211|Velocidad=299.73
Card_8,Altura=9.75|Peso=1513.06|Fuerza=1129075.12|Peleas Ganadas=930|Velocidad=371.25
Card_9,Altura=8.27|Peso=14511.77|Fuerza=802633.41|Peleas Ganadas=811|Velocidad=161.64
Card_10,Altura=8.19|Peso=3850.87|Fuerza=526691.22|Peleas Ganadas=499|Velocidad=55.8
Card_11,Altura=8.49|Peso=10129.85|Fuerza=626584.42|Peleas Ganadas=398|Velocidad=322.39
Card_12,Altura=8.24|Peso=1765.49|Fuerza=644712.95|Peleas Ganadas=401|Velocidad=178.4
Card_13,Altura=9.87|Peso=9231.32|Fuerza=884630.19|Peleas Ganadas=16|Velocidad=71.15
Card_14,Altura=9.25|Peso=12177.88|Fuerza=603211.79|Peleas Ganadas=748|Velocidad=272.36
Card_15,Altura=9.52|Peso=3740.56|Fuerza=1239984.84|Peleas Ganadas=282|Velocidad=339.76
Card_16,Altura=8.06|Peso=3554.98|Fuerza=1373398.16|Peleas Ganadas=113|Velocidad=155.17
Card_17,Altura=9.94|Peso=10811.1|Fuerza=514183|Peleas Ganadas=1|Velocidad=396.91
Card_18,Altura=9.41|Peso=13256.73|Fuerza=861787.79|Peleas Ganadas=61|Velocidad=273.69
Card_19,Altura=8.12|Peso=9705.14|Fuerza=1169438.97|Peleas Ganadas=419|Velocidad=63
Card_20,Altura=9.7|Peso=13303.63|Fuerza=774114.9|Peleas Ganadas=166|Velocidad=183.68
Card_21,Altura=9.77|Peso=4499.78|Fuerza=1256760.13|Peleas Ganadas=941|Velocidad=260.41
Card_22,Altura=9.75|Peso=13176.65|Fuerza=1479919.31|Peleas Ganadas=802|Velocidad=370.43
Card_23,Altura=8.11|Peso=10836.35|Fuerza=1420844.95|Peleas Ganadas=892|Velocidad=356.89
Card_24,Altura=8.1|Peso=9495.46|Fuerza=812711.29|Peleas Ganadas=712|Velocidad=394.45
Card_25,Altura=9.08|Peso=10828.48|Fuerza=1139240.63|Peleas Ganadas=798|Velocidad=317.85
Card_26,Altura=8.29|Peso=11978.1|Fuerza=776923.23|Peleas Ganadas=134|Velocidad=185.98
Card_27,Altura=9.32|Peso=6839.06|Fuerza=1337183.37|Peleas Ganadas=581|Velocidad=137.68
Card_28,Altura=9.71|Peso=5078.65|Fuerza=855745.84|Peleas Ganadas=752|Velocidad=93.94
Card_29,Altura=9.77|Peso=4914.64|Fuerza=1264313.17|Peleas Ganadas=873|Velocidad=385.11
Card_30,Altura=9.34|Peso=11965.52|Fuerza=778302.77|Peleas Ganadas=752|Velocidad=173.07
Card_31,Altura=9.1|Peso=5483.14|Fuerza=963994.43|Peleas Ganadas=336|Velocidad=250.19
Card_32,Altura=9.92|Peso=13091.95|Fuerza=605949.15|Peleas Ganadas=820|Velocidad=383.27
Card_33,Altura=8.44|Peso=1701.84|Fuerza=1494849.07|Peleas Ganadas=854|Velocidad=109.7
Card_34,Altura=9.3|Peso=6295.66|Fuerza=1121918.46|Peleas Ganadas=516|Velocidad=392.26
Card_35,Altura=9.01|Peso=7280.81|Fuerza=977519.92|Peleas Ganadas=673|Velocidad=109.68
Card_36,Altura=9.28|Peso=3135.44|Fuerza=1182847.33|Peleas Ganadas=539|Velocidad=318.89
Card_37,Altura=8.67|Peso=1364.26|Fuerza=503445.61|Peleas Ganadas=33|Velocidad=309.16
Card_38,Altura=8.61|Peso=9738.15|Fuerza=732261.13|Peleas Ganadas=75|Velocidad=354.63
Card_39,Altura=9.46|Peso=14260|Fuerza=1437992.14|Peleas Ganadas=469|Velocidad=64.29
Card_40,Altura=8.72|Peso=12717.74|Fuerza=1042913.55|Peleas Ganadas=510|Velocidad=194.06
Card_41,Altura=9.98|Peso=10563.97|Fuerza=924719.39|Peleas Ganadas=359|Velocidad=239.78
Card_42,Altura=8.85|Peso=2385.43|Fuerza=795571.64|Peleas Ganadas=248|Velocidad=77.2
Card_43,Altura=9.4|Peso=13102.57|Fuerza=713558.75|Peleas Ganadas=414|Velocidad=90.41
Card_44,Altura=8.47|Peso=10361.35|Fuerza=1305684.39|Peleas Ganadas=97|Velocidad=171.06
Card_45,Altura=8.27|Peso=12645.23|Fuerza=1321561.47|Peleas Ganadas=689|Velocidad=165.31
Card_46,Altura=8.98|Peso=5407.8|Fuerza=1456248.52|Peleas Ganadas=642|Velocidad=343.69
Card_47,Altura=9.84|Peso=9531.58|Fuerza=1034591.26|Peleas Ganadas=428|Velocidad=375.62
Card_48,Altura=9.68|Peso=10635.26|Fuerza=1205598.09|Peleas Ganadas=266|Velocidad=119.07
Card_49,Altura=8.18|Peso=9184.31|Fuerza=1181449.5|Peleas Ganadas=156|Velocidad=161.81
Card_50,Altura=9.01|Peso=9704.96|Fuerza=1323929.22|Peleas Ganadas=706|Velocidad=205.78
